NAME,COUNTY,LAT,LON,TIDE
San Carlos,TWC0399,24.7833,-112.1167,1
Isla Guadalupe,TWC0401,28.8833,-116.3,1
Ensenada: Todos Santos Bay,TWC0403,31.85,-116.6333,1
Imperial Beach,9410120,32.5783,-117.135,1
Point Loma,TWC0405,32.6667,-117.2333,1
San Diego: Quarantine Station,9410166,32.7033,-117.235,1
SAN DIEGO (Broadway),9410170,32.7142,-117.1736,2
National City: San Diego Bay,9410152,32.665,-117.118,1
South San Diego Bay,9410135,32.6291,-117.1078,2
Quivira Basin: Mission Bay,TWC0413,32.7667,-117.2333,1
Mission Bay: Campland,9410196,32.7937,-117.2238,3
La Jolla (Scripps Institution Wharf),9410230,32.8669,-117.2571,2
San Clemente,TWC0419,33.4167,-117.6167,1
Newport Bay Entrance: Corona del Mar,9410580,33.6033,-117.883,2
Balboa Pier: Newport Beach,9410583,33.6,-117.9,1
Santa Ana River entrance (inside),9410599,33.63,-117.958,1
Los Patos (highway bridge),TWC0427,33.7167,-118.05,1
Long Beach: Terminal Island,9410680,33.7517,-118.227,2
Long Beach: Inner Harbor,9410686,33.7717,-118.21,1
Cabrillo Beach,9410650,33.7067,-118.273,1
LOS ANGELES (Outer Harbor),9410660,33.7199,-118.2729,2
Los Angeles Harbor: Mormon Island,TWC0439,33.75,-118.2667,1
King Harbor: Santa Monica Bay,9410738,33.8467,-118.398,1
El Segundo: Santa Monica Bay,9410777,33.9083,-118.433,1
Santa Monica: Municipal Pier,9410840,34.0083,-118.5,2
Mugu Lagoon (ocean pier),TWC0445,34.1,-119.1,1
Port Hueneme,9411065,34.1483,-119.203,1
Ventura,9411189,34.2667,-119.283,1
Rincon Island: Mussel Shoals,9411270,34.3483,-119.443,1
Santa Barbara,9411340,34.4031,-119.6928,2
Gaviota State Park: Pacific Ocean,9411399,34.4694,-120.2283,2
Oil Platform Harvest,9411406,34.4692,-120.6819,2
Wilson Cove: San Clemente Island,9410032,33.005,-118.557,3
Catalina Harbor: Santa Catalina Island,9410092,33.4317,-118.503,3
Avalon: Santa Catalina Island,9410079,33.345,-118.325,2
Santa Barbara Island,TWC0463,33.4833,-119.0333,3
San Nicolas Island,9410068,33.2667,-119.497,3
Prisoners Harbor: Santa Cruz Island,9410971,34.02,-119.683,3
Bechers Bay: Santa Rosa Island,9410962,34.0083,-120.047,3
Cuyler Harbor: San Miguel Island,9410988,34.0567,-120.355,2
Point Arguello,TWC0473,34.5833,-120.65,2
PORT SAN LUIS,9412110,35.1688,-120.7542,2
San Simeon,9412553,35.6417,-121.188,1
Mansfield Cone,9412802,35.9495,-121.4819,2
